5:03:00; B; D
8:57:00; B; A
9:07:00; B; A
9:17:00; B; A
9:00:00; A; A
9:10:00; A; A
9:20:00; A; A
9:03:00; B; D
9:13:00; B; D
9:23:00; B; D
9:08:00; C; D
9:18:00; C; D
9:28:00; C; D
9:12:00; D; D
9:22:00; D; D
9:32:00; D; D
9:16:00; C; A
9:26:00; C; A
9:36:00; C; A
9:21:00; B; A
9:31:00; B; A
9:41:00; B; A
9:24:00; A; A
9:34:00; A; A
9:44:00; A; A
9:27:00; B; D
9:37:00; B; D
9:47:00; B; D
9:32:00; C; D
9:42:00; C; D
9:52:00; C; D
9:36:00; D; D
9:46:00; D; D
9:56:00; D; D
9:40:00; C; A
9:50:00; C; A
10:00:00; C; A
9:45:00; B; A
9:55:00; B; A
10:05:00; B; A
9:48:00; A; A
9:58:00; A; A
10:08:00; A; A
9:51:00; B; D
10:01:00; B; D
10:11:00; B; D
9:56:00; C; D
10:06:00; C; D
10:16:00; C; D
10:00:00; D; D
10:10:00; D; D
10:20:00; D; D
10:04:00; C; A
10:14:00; C; A
10:24:00; C; A
10:09:00; B; A
10:19:00; B; A
10:29:00; B; A
10:12:00; A; A
10:22:00; A; A
10:32:00; A; A
10:15:00; B; D
10:25:00; B; D
10:35:00; B; D
10:20:00; C; D
10:30:00; C; D
10:40:00; C; D
10:24:00; D; D
10:34:00; D; D
10:44:00; D; D
10:28:00; C; A
10:38:00; C; A
10:48:00; C; A
10:33:00; B; A
10:43:00; B; A
10:53:00; B; A
10:36:00; A; A
10:46:00; A; A
10:56:00; A; A
10:39:00; B; D
10:49:00; B; D
10:59:00; B; D
10:44:00; C; D
10:54:00; C; D
11:04:00; C; D
10:48:00; D; D
10:58:00; D; D
11:08:00; D; D
10:52:00; C; A
11:02:00; C; A
11:12:00; C; A
10:57:00; B; A
11:07:00; B; A
11:17:00; B; A
11:00:00; A; A
11:10:00; A; A
11:20:00; A; A
11:03:00; B; D
11:13:00; B; D
11:23:00; B; D
11:08:00; C; D
11:18:00; C; D
11:28:00; C; D
11:12:00; D; D
11:22:00; D; D
11:32:00; D; D
11:16:00; C; A
11:26:00; C; A
11:36:00; C; A
11:21:00; B; A
11:31:00; B; A
11:41:00; B; A
11:24:00; A; A
11:34:00; A; A
11:44:00; A; A
11:27:00; B; D
11:37:00; B; D
11:47:00; B; D
11:32:00; C; D
11:42:00; C; D
11:52:00; C; D
11:36:00; D; D
11:46:00; D; D
11:56:00; D; D
11:40:00; C; A
11:50:00; C; A
12:00:00; C; A
11:45:00; B; A
11:55:00; B; A
12:05:00; B; A
11:48:00; A; A
11:58:00; A; A
12:08:00; A; A
11:51:00; B; D
12:01:00; B; D
12:11:00; B; D
11:56:00; C; D
12:06:00; C; D
12:16:00; C; D
12:00:00; D; D
12:10:00; D; D
12:20:00; D; D
12:04:00; C; A
12:14:00; C; A
12:24:00; C; A
12:09:00; B; A
12:19:00; B; A
12:29:00; B; A
12:12:00; A; A
12:22:00; A; A
12:32:00; A; A
12:15:00; B; D
12:25:00; B; D
12:35:00; B; D
12:20:00; C; D
12:30:00; C; D
12:40:00; C; D
12:24:00; D; D
12:34:00; D; D
12:44:00; D; D
12:28:00; C; A
12:38:00; C; A
12:48:00; C; A
12:33:00; B; A
12:43:00; B; A
12:53:00; B; A
12:36:00; A; A
12:46:00; A; A
12:56:00; A; A
12:39:00; B; D
12:49:00; B; D
12:59:00; B; D
12:44:00; C; D
12:54:00; C; D
13:04:00; C; D
12:48:00; D; D
12:58:00; D; D
13:08:00; D; D
12:52:00; C; A
13:02:00; C; A
13:12:00; C; A
12:57:00; B; A
13:07:00; B; A
13:17:00; B; A
13:00:00; A; A
13:10:00; A; A
13:20:00; A; A
13:03:00; B; D
13:13:00; B; D
13:23:00; B; D
13:08:00; C; D
13:18:00; C; D
13:28:00; C; D
13:12:00; D; D
13:22:00; D; D
13:32:00; D; D
13:16:00; C; A
13:26:00; C; A
13:36:00; C; A
13:21:00; B; A
13:31:00; B; A
13:41:00; B; A
13:24:00; A; A
13:34:00; A; A
13:44:00; A; A
13:27:00; B; D
13:37:00; B; D
13:47:00; B; D
13:32:00; C; D
13:42:00; C; D
13:52:00; C; D
13:36:00; D; D
13:46:00; D; D
13:56:00; D; D
13:40:00; C; A
13:50:00; C; A
14:00:00; C; A
13:45:00; B; A
13:55:00; B; A
14:05:00; B; A
13:48:00; A; A
13:58:00; A; A
14:08:00; A; A
13:51:00; B; D
14:01:00; B; D
14:11:00; B; D
13:56:00; C; D
14:06:00; C; D
14:16:00; C; D
14:00:00; D; D
14:10:00; D; D
14:20:00; D; D
14:04:00; C; A
14:14:00; C; A
14:24:00; C; A
14:09:00; B; A
14:19:00; B; A
14:29:00; B; A
14:12:00; A; A
14:22:00; A; A
14:32:00; A; A
14:15:00; B; D
14:25:00; B; D
14:35:00; B; D
14:20:00; C; D
14:30:00; C; D
14:40:00; C; D
14:24:00; D; D
14:34:00; D; D
14:44:00; D; D
14:28:00; C; A
14:38:00; C; A
14:48:00; C; A
14:33:00; B; A
14:43:00; B; A
14:53:00; B; A
14:36:00; A; A
14:46:00; A; A
14:56:00; A; A
14:39:00; B; D
14:49:00; B; D
14:59:00; B; D
14:44:00; C; D
14:54:00; C; D
15:04:00; C; D
14:48:00; D; D
14:58:00; D; D
15:08:00; D; D
14:52:00; C; A
15:02:00; C; A
15:12:00; C; A
14:57:00; B; A
15:07:00; B; A
15:17:00; B; A
15:00:00; A; A
15:10:00; A; A
15:20:00; A; A
15:03:00; B; D
15:13:00; B; D
15:23:00; B; D
15:08:00; C; D
15:18:00; C; D
15:28:00; C; D
15:12:00; D; D
15:22:00; D; D
15:32:00; D; D
15:16:00; C; A
15:26:00; C; A
15:36:00; C; A
15:21:00; B; A
15:31:00; B; A
15:41:00; B; A
15:24:00; A; A
15:34:00; A; A
15:44:00; A; A
15:27:00; B; D
15:37:00; B; D
15:47:00; B; D
15:32:00; C; D
15:42:00; C; D
15:52:00; C; D
15:36:00; D; D
15:46:00; D; D
15:56:00; D; D
15:40:00; C; A
15:50:00; C; A
16:00:00; C; A
15:45:00; B; A
15:55:00; B; A
16:05:00; B; A
15:48:00; A; A
15:58:00; A; A
16:08:00; A; A
15:51:00; B; D
16:01:00; B; D
16:11:00; B; D
15:56:00; C; D
16:06:00; C; D
16:16:00; C; D
16:00:00; D; D
16:10:00; D; D
16:20:00; D; D
16:04:00; C; A
16:14:00; C; A
16:24:00; C; A
16:09:00; B; A
16:19:00; B; A
16:29:00; B; A
16:12:00; A; A
16:22:00; A; A
16:32:00; A; A
16:15:00; B; D
16:25:00; B; D
16:35:00; B; D
16:20:00; C; D
16:30:00; C; D
16:40:00; C; D
16:24:00; D; D
16:34:00; D; D
16:44:00; D; D
16:28:00; C; A
16:38:00; C; A
16:48:00; C; A
16:33:00; B; A
16:43:00; B; A
16:53:00; B; A
16:36:00; A; A
16:46:00; A; A
16:56:00; A; A
16:39:00; B; D
16:49:00; B; D
16:59:00; B; D
16:44:00; C; D
16:54:00; C; D
17:04:00; C; D
16:48:00; D; D
16:58:00; D; D
17:08:00; D; D
16:52:00; C; A
17:02:00; C; A
17:12:00; C; A
16:57:00; B; A
17:07:00; B; A
17:17:00; B; A
17:00:00; A; A
17:10:00; A; A
17:20:00; A; A
17:03:00; B; D
17:13:00; B; D
17:23:00; B; D
17:08:00; C; D
17:18:00; C; D
17:28:00; C; D
17:12:00; D; D
17:22:00; D; D
17:32:00; D; D
17:16:00; C; A
17:26:00; C; A
17:36:00; C; A
17:21:00; B; A
17:31:00; B; A
17:41:00; B; A
17:24:00; A; A
17:34:00; A; A
17:44:00; A; A
17:27:00; B; D
17:37:00; B; D
17:47:00; B; D
17:32:00; C; D
17:42:00; C; D
17:52:00; C; D
17:36:00; D; D
17:46:00; D; D
17:56:00; D; D
17:40:00; C; A
17:50:00; C; A
18:00:00; C; A
17:45:00; B; A
17:55:00; B; A
18:05:00; B; A
17:48:00; A; A
17:58:00; A; A
18:08:00; A; A
17:51:00; B; D
18:01:00; B; D
18:11:00; B; D
17:56:00; C; D
18:06:00; C; D
18:16:00; C; D
18:00:00; D; D
18:10:00; D; D
18:20:00; D; D
18:04:00; C; A
18:14:00; C; A
18:24:00; C; A
18:09:00; B; A
18:19:00; B; A
18:29:00; B; A
18:12:00; A; A
18:22:00; A; A
18:32:00; A; A
18:15:00; B; D
18:25:00; B; D
18:35:00; B; D
18:20:00; C; D
18:30:00; C; D
18:40:00; C; D
18:24:00; D; D
18:34:00; D; D
18:44:00; D; D
18:28:00; C; A
18:38:00; C; A
18:48:00; C; A
18:33:00; B; A
18:43:00; B; A
18:53:00; B; A
18:36:00; A; A
18:46:00; A; A
18:56:00; A; A
18:39:00; B; D
18:49:00; B; D
18:59:00; B; D
18:44:00; C; D
18:54:00; C; D
19:04:00; C; D
18:48:00; D; D
18:58:00; D; D
19:08:00; D; D
18:52:00; C; A
19:02:00; C; A
19:12:00; C; A
18:57:00; B; A
19:07:00; B; A
19:17:00; B; A
19:00:00; A; A
19:10:00; A; A
19:20:00; A; A
19:03:00; B; D
19:13:00; B; D
19:23:00; B; D
19:08:00; C; D
19:18:00; C; D
19:28:00; C; D
19:12:00; D; D
19:22:00; D; D
19:32:00; D; D
19:16:00; C; A
19:26:00; C; A
19:36:00; C; A
19:21:00; B; A
19:31:00; B; A
19:41:00; B; A
19:24:00; A; A
19:34:00; A; A
19:44:00; A; A
19:27:00; B; D
19:37:00; B; D
19:47:00; B; D
19:32:00; C; D
19:42:00; C; D
19:52:00; C; D
19:36:00; D; D
19:46:00; D; D
19:56:00; D; D
19:40:00; C; A
19:50:00; C; A
20:00:00; C; A
19:45:00; B; A
19:55:00; B; A
20:05:00; B; A
19:48:00; A; A
19:58:00; A; A
20:08:00; A; A
19:51:00; B; D
20:01:00; B; D
20:11:00; B; D
19:56:00; C; D
20:06:00; C; D
20:16:00; C; D
20:00:00; D; D
20:10:00; D; D
20:20:00; D; D
20:04:00; C; A
20:14:00; C; A
20:24:00; C; A
20:09:00; B; A
20:19:00; B; A
20:29:00; B; A
20:12:00; A; A
20:22:00; A; A
20:32:00; A; A
20:15:00; B; D
20:25:00; B; D
20:35:00; B; D
20:20:00; C; D
20:30:00; C; D
20:40:00; C; D
20:24:00; D; D
20:34:00; D; D
20:44:00; D; D
20:28:00; C; A
20:38:00; C; A
20:48:00; C; A
20:33:00; B; A
20:43:00; B; A
20:53:00; B; A
20:36:00; A; A
20:46:00; A; A
20:56:00; A; A
20:39:00; B; D
20:49:00; B; D
20:59:00; B; D
20:44:00; C; D
20:54:00; C; D
21:04:00; C; D
20:48:00; D; D
20:58:00; D; D
21:08:00; D; D
20:52:00; C; A
21:02:00; C; A
21:12:00; C; A
20:57:00; B; A
21:07:00; B; A
21:17:00; B; A
21:00:00; A; A
21:10:00; A; A
21:20:00; A; A
21:03:00; B; D
21:13:00; B; D
21:23:00; B; D
21:08:00; C; D
21:18:00; C; D
21:28:00; C; D
21:12:00; D; D
21:22:00; D; D
21:32:00; D; D
21:16:00; C; A
21:26:00; C; A
21:36:00; C; A
21:21:00; B; A
21:31:00; B; A
21:41:00; B; A
21:24:00; A; A
21:34:00; A; A
21:44:00; A; A
21:27:00; B; D
21:37:00; B; D
21:47:00; B; D
21:32:00; C; D
21:42:00; C; D
21:52:00; C; D
21:36:00; D; D
21:46:00; D; D
21:56:00; D; D
21:40:00; C; A
21:50:00; C; A
22:00:00; C; A
21:45:00; B; A
21:55:00; B; A
22:05:00; B; A
21:48:00; A; A
21:58:00; A; A
22:08:00; A; A
21:51:00; B; D
22:01:00; B; D
22:11:00; B; D
21:56:00; C; D
22:06:00; C; D
22:16:00; C; D
22:00:00; D; D
22:10:00; D; D
22:20:00; D; D
22:04:00; C; A
22:14:00; C; A
22:24:00; C; A
22:09:00; B; A
22:19:00; B; A
22:29:00; B; A
22:12:00; A; A
22:22:00; A; A
22:32:00; A; A
22:15:00; B; D
22:25:00; B; D
22:35:00; B; D
22:20:00; C; D
22:30:00; C; D
22:40:00; C; D
22:24:00; D; D
22:34:00; D; D
22:44:00; D; D
22:28:00; C; A
22:38:00; C; A
22:48:00; C; A
22:33:00; B; A
22:43:00; B; A
22:53:00; B; A
22:36:00; A; A
22:46:00; A; A
22:56:00; A; A
22:39:00; B; D
22:49:00; B; D
22:59:00; B; D
22:44:00; C; D
22:54:00; C; D
23:04:00; C; D
22:48:00; D; D
22:58:00; D; D
23:08:00; D; D
22:52:00; C; A
23:02:00; C; A
23:12:00; C; A
22:57:00; B; A
23:07:00; B; A
23:17:00; B; A
23:00:00; A; A
23:10:00; A; A
23:20:00; A; A
23:03:00; B; D
23:13:00; B; D
23:23:00; B; D
23:08:00; C; D
23:18:00; C; D
23:28:00; C; D
23:12:00; D; D
23:22:00; D; D
23:32:00; D; D
23:16:00; C; A
23:26:00; C; A
23:36:00; C; A
23:21:00; B; A
23:31:00; B; A
23:41:00; B; A
23:24:00; A; A
23:34:00; A; A
23:44:00; A; A
23:27:00; B; D
23:37:00; B; D
23:47:00; B; D
23:32:00; C; D
23:42:00; C; D
23:52:00; C; D
23:36:00; D; D
23:46:00; D; D
23:56:00; D; D
23:40:00; C; A
23:50:00; C; A
1 day, 0:00:00; C; A
23:45:00; B; A
23:55:00; B; A
1 day, 0:05:00; B; A
23:48:00; A; A
23:58:00; A; A
1 day, 0:08:00; A; A
23:51:00; B; D
1 day, 0:01:00; B; D
1 day, 0:11:00; B; D
23:56:00; C; D
1 day, 0:06:00; C; D
1 day, 0:16:00; C; D
1 day, 0:00:00; D; D
1 day, 0:10:00; D; D
1 day, 0:20:00; D; D
1 day, 0:04:00; C; A
1 day, 0:14:00; C; A
1 day, 0:24:00; C; A
1 day, 0:09:00; B; A
1 day, 0:19:00; B; A
1 day, 0:29:00; B; A
1 day, 0:12:00; A; A
1 day, 0:22:00; A; A
1 day, 0:32:00; A; A
1 day, 0:15:00; B; D
1 day, 0:25:00; B; D
1 day, 0:35:00; B; D
1 day, 0:20:00; C; D
1 day, 0:30:00; C; D
1 day, 0:40:00; C; D
1 day, 0:24:00; D; D
1 day, 0:34:00; D; D
1 day, 0:44:00; D; D
1 day, 0:28:00; C; A
1 day, 0:38:00; C; A
1 day, 0:48:00; C; A
1 day, 0:33:00; B; A
1 day, 0:43:00; B; A
1 day, 0:53:00; B; A
1 day, 0:36:00; A; A
1 day, 0:46:00; A; A
1 day, 0:56:00; A; A
1 day, 0:39:00; B; D
1 day, 0:49:00; B; D
1 day, 0:59:00; B; D
1 day, 0:44:00; C; D
1 day, 0:54:00; C; D
1 day, 1:04:00; C; D
