5:16:00; A; F
10:32:00; F; F
10:37:00; F; F
10:42:00; F; F
10:37:00; B; E
10:42:00; B; E
10:47:00; B; E
10:40:00; A; E
10:45:00; A; E
10:50:00; A; E
10:46:00; E; E
10:51:00; E; E
10:56:00; E; E
10:52:00; A; F
10:57:00; A; F
11:02:00; A; F
10:55:00; B; F
11:00:00; B; F
11:05:00; B; F
11:00:00; F; F
11:05:00; F; F
11:10:00; F; F
11:05:00; B; E
11:10:00; B; E
11:15:00; B; E
11:08:00; A; E
11:13:00; A; E
11:18:00; A; E
11:14:00; E; E
11:19:00; E; E
11:24:00; E; E
11:20:00; A; F
11:25:00; A; F
11:30:00; A; F
11:23:00; B; F
11:28:00; B; F
11:33:00; B; F
11:28:00; F; F
11:33:00; F; F
11:38:00; F; F
11:33:00; B; E
11:38:00; B; E
11:43:00; B; E
11:36:00; A; E
11:41:00; A; E
11:46:00; A; E
11:42:00; E; E
11:47:00; E; E
11:52:00; E; E
11:48:00; A; F
11:53:00; A; F
11:58:00; A; F
11:51:00; B; F
11:56:00; B; F
12:01:00; B; F
11:56:00; F; F
12:01:00; F; F
12:06:00; F; F
12:01:00; B; E
12:06:00; B; E
12:11:00; B; E
12:04:00; A; E
12:09:00; A; E
12:14:00; A; E
12:10:00; E; E
12:15:00; E; E
12:20:00; E; E
12:16:00; A; F
12:21:00; A; F
12:26:00; A; F
12:19:00; B; F
12:24:00; B; F
12:29:00; B; F
12:24:00; F; F
12:29:00; F; F
12:34:00; F; F
12:29:00; B; E
12:34:00; B; E
12:39:00; B; E
12:32:00; A; E
12:37:00; A; E
12:42:00; A; E
12:38:00; E; E
12:43:00; E; E
12:48:00; E; E
12:44:00; A; F
12:49:00; A; F
12:54:00; A; F
12:47:00; B; F
12:52:00; B; F
12:57:00; B; F
12:52:00; F; F
12:57:00; F; F
13:02:00; F; F
12:57:00; B; E
13:02:00; B; E
13:07:00; B; E
13:00:00; A; E
13:05:00; A; E
13:10:00; A; E
13:06:00; E; E
13:11:00; E; E
13:16:00; E; E
13:12:00; A; F
13:17:00; A; F
13:22:00; A; F
13:15:00; B; F
13:20:00; B; F
13:25:00; B; F
13:20:00; F; F
13:25:00; F; F
13:30:00; F; F
13:25:00; B; E
13:30:00; B; E
13:35:00; B; E
13:28:00; A; E
13:33:00; A; E
13:38:00; A; E
13:34:00; E; E
13:39:00; E; E
13:44:00; E; E
13:40:00; A; F
13:45:00; A; F
13:50:00; A; F
13:43:00; B; F
13:48:00; B; F
13:53:00; B; F
13:48:00; F; F
13:53:00; F; F
13:58:00; F; F
13:53:00; B; E
13:58:00; B; E
14:03:00; B; E
13:56:00; A; E
14:01:00; A; E
14:06:00; A; E
14:02:00; E; E
14:07:00; E; E
14:12:00; E; E
14:08:00; A; F
14:13:00; A; F
14:18:00; A; F
14:11:00; B; F
14:16:00; B; F
14:21:00; B; F
14:16:00; F; F
14:21:00; F; F
14:26:00; F; F
14:21:00; B; E
14:26:00; B; E
14:31:00; B; E
14:24:00; A; E
14:29:00; A; E
14:34:00; A; E
14:30:00; E; E
14:35:00; E; E
14:40:00; E; E
14:36:00; A; F
14:41:00; A; F
14:46:00; A; F
14:39:00; B; F
14:44:00; B; F
14:49:00; B; F
14:44:00; F; F
14:49:00; F; F
14:54:00; F; F
14:49:00; B; E
14:54:00; B; E
14:59:00; B; E
14:52:00; A; E
14:57:00; A; E
15:02:00; A; E
14:58:00; E; E
15:03:00; E; E
15:08:00; E; E
15:04:00; A; F
15:09:00; A; F
15:14:00; A; F
15:07:00; B; F
15:12:00; B; F
15:17:00; B; F
15:12:00; F; F
15:17:00; F; F
15:22:00; F; F
15:17:00; B; E
15:22:00; B; E
15:27:00; B; E
15:20:00; A; E
15:25:00; A; E
15:30:00; A; E
15:26:00; E; E
15:31:00; E; E
15:36:00; E; E
15:32:00; A; F
15:37:00; A; F
15:42:00; A; F
15:35:00; B; F
15:40:00; B; F
15:45:00; B; F
15:40:00; F; F
15:45:00; F; F
15:50:00; F; F
15:45:00; B; E
15:50:00; B; E
15:55:00; B; E
15:48:00; A; E
15:53:00; A; E
15:58:00; A; E
15:54:00; E; E
15:59:00; E; E
16:04:00; E; E
16:00:00; A; F
16:05:00; A; F
16:10:00; A; F
16:03:00; B; F
16:08:00; B; F
16:13:00; B; F
16:08:00; F; F
16:13:00; F; F
16:18:00; F; F
16:13:00; B; E
16:18:00; B; E
16:23:00; B; E
16:16:00; A; E
16:21:00; A; E
16:26:00; A; E
16:22:00; E; E
16:27:00; E; E
16:32:00; E; E
16:28:00; A; F
16:33:00; A; F
16:38:00; A; F
16:31:00; B; F
16:36:00; B; F
16:41:00; B; F
16:36:00; F; F
16:41:00; F; F
16:46:00; F; F
16:41:00; B; E
16:46:00; B; E
16:51:00; B; E
16:44:00; A; E
16:49:00; A; E
16:54:00; A; E
16:50:00; E; E
16:55:00; E; E
17:00:00; E; E
16:56:00; A; F
17:01:00; A; F
17:06:00; A; F
16:59:00; B; F
17:04:00; B; F
17:09:00; B; F
17:04:00; F; F
17:09:00; F; F
17:14:00; F; F
17:09:00; B; E
17:14:00; B; E
17:19:00; B; E
17:12:00; A; E
17:17:00; A; E
17:22:00; A; E
17:18:00; E; E
17:23:00; E; E
17:28:00; E; E
17:24:00; A; F
17:29:00; A; F
17:34:00; A; F
17:27:00; B; F
17:32:00; B; F
17:37:00; B; F
17:32:00; F; F
17:37:00; F; F
17:42:00; F; F
17:37:00; B; E
17:42:00; B; E
17:47:00; B; E
17:40:00; A; E
17:45:00; A; E
17:50:00; A; E
17:46:00; E; E
17:51:00; E; E
17:56:00; E; E
17:52:00; A; F
17:57:00; A; F
18:02:00; A; F
17:55:00; B; F
18:00:00; B; F
18:05:00; B; F
18:00:00; F; F
18:05:00; F; F
18:10:00; F; F
18:05:00; B; E
18:10:00; B; E
18:15:00; B; E
18:08:00; A; E
18:13:00; A; E
18:18:00; A; E
18:14:00; E; E
18:19:00; E; E
18:24:00; E; E
18:20:00; A; F
18:25:00; A; F
18:30:00; A; F
18:23:00; B; F
18:28:00; B; F
18:33:00; B; F
18:28:00; F; F
18:33:00; F; F
18:38:00; F; F
18:33:00; B; E
18:38:00; B; E
18:43:00; B; E
18:36:00; A; E
18:41:00; A; E
18:46:00; A; E
18:42:00; E; E
18:47:00; E; E
18:52:00; E; E
18:48:00; A; F
18:53:00; A; F
18:58:00; A; F
18:51:00; B; F
18:56:00; B; F
19:01:00; B; F
18:56:00; F; F
19:01:00; F; F
19:06:00; F; F
19:01:00; B; E
19:06:00; B; E
19:11:00; B; E
19:04:00; A; E
19:09:00; A; E
19:14:00; A; E
19:10:00; E; E
19:15:00; E; E
19:20:00; E; E
19:16:00; A; F
19:21:00; A; F
19:26:00; A; F
19:19:00; B; F
19:24:00; B; F
19:29:00; B; F
19:24:00; F; F
19:29:00; F; F
19:34:00; F; F
19:29:00; B; E
19:34:00; B; E
19:39:00; B; E
19:32:00; A; E
19:37:00; A; E
19:42:00; A; E
19:38:00; E; E
19:43:00; E; E
19:48:00; E; E
19:44:00; A; F
19:49:00; A; F
19:54:00; A; F
19:47:00; B; F
19:52:00; B; F
19:57:00; B; F
19:52:00; F; F
19:57:00; F; F
20:02:00; F; F
19:57:00; B; E
20:02:00; B; E
20:07:00; B; E
20:00:00; A; E
20:05:00; A; E
20:10:00; A; E
20:06:00; E; E
20:11:00; E; E
20:16:00; E; E
20:12:00; A; F
20:17:00; A; F
20:22:00; A; F
20:15:00; B; F
20:20:00; B; F
20:25:00; B; F
20:20:00; F; F
20:25:00; F; F
20:30:00; F; F
20:25:00; B; E
20:30:00; B; E
20:35:00; B; E
20:28:00; A; E
20:33:00; A; E
20:38:00; A; E
20:34:00; E; E
20:39:00; E; E
20:44:00; E; E
20:40:00; A; F
20:45:00; A; F
20:50:00; A; F
20:43:00; B; F
20:48:00; B; F
20:53:00; B; F
20:48:00; F; F
20:53:00; F; F
20:58:00; F; F
20:53:00; B; E
20:58:00; B; E
21:03:00; B; E
20:56:00; A; E
21:01:00; A; E
21:06:00; A; E
21:02:00; E; E
21:07:00; E; E
21:12:00; E; E
21:08:00; A; F
21:13:00; A; F
21:18:00; A; F
21:11:00; B; F
21:16:00; B; F
21:21:00; B; F
21:16:00; F; F
21:21:00; F; F
21:26:00; F; F
21:21:00; B; E
21:26:00; B; E
21:31:00; B; E
21:24:00; A; E
21:29:00; A; E
21:34:00; A; E
21:30:00; E; E
21:35:00; E; E
21:40:00; E; E
21:36:00; A; F
21:41:00; A; F
21:46:00; A; F
21:39:00; B; F
21:44:00; B; F
21:49:00; B; F
21:44:00; F; F
21:49:00; F; F
21:54:00; F; F
21:49:00; B; E
21:54:00; B; E
21:59:00; B; E
21:52:00; A; E
21:57:00; A; E
22:02:00; A; E
21:58:00; E; E
22:03:00; E; E
22:08:00; E; E
22:04:00; A; F
22:09:00; A; F
22:14:00; A; F
22:07:00; B; F
22:12:00; B; F
22:17:00; B; F
22:12:00; F; F
22:17:00; F; F
22:22:00; F; F
22:17:00; B; E
22:22:00; B; E
22:27:00; B; E
22:20:00; A; E
22:25:00; A; E
22:30:00; A; E
22:26:00; E; E
22:31:00; E; E
22:36:00; E; E
22:32:00; A; F
22:37:00; A; F
22:42:00; A; F
22:35:00; B; F
22:40:00; B; F
22:45:00; B; F
22:40:00; F; F
22:45:00; F; F
22:50:00; F; F
22:45:00; B; E
22:50:00; B; E
22:55:00; B; E
22:48:00; A; E
22:53:00; A; E
22:58:00; A; E
22:54:00; E; E
22:59:00; E; E
23:04:00; E; E
23:00:00; A; F
23:05:00; A; F
23:10:00; A; F
23:03:00; B; F
23:08:00; B; F
23:13:00; B; F
23:08:00; F; F
23:13:00; F; F
23:18:00; F; F
23:13:00; B; E
23:18:00; B; E
23:23:00; B; E
23:16:00; A; E
23:21:00; A; E
23:26:00; A; E
23:22:00; E; E
23:27:00; E; E
23:32:00; E; E
23:28:00; A; F
23:33:00; A; F
23:38:00; A; F
23:31:00; B; F
23:36:00; B; F
23:41:00; B; F
23:36:00; F; F
23:41:00; F; F
23:46:00; F; F
23:41:00; B; E
23:46:00; B; E
23:51:00; B; E
23:44:00; A; E
23:49:00; A; E
23:54:00; A; E
23:50:00; E; E
23:55:00; E; E
1 day, 0:00:00; E; E
23:56:00; A; F
1 day, 0:01:00; A; F
1 day, 0:06:00; A; F
23:59:00; B; F
1 day, 0:04:00; B; F
1 day, 0:09:00; B; F
1 day, 0:04:00; F; F
1 day, 0:09:00; F; F
1 day, 0:14:00; F; F
1 day, 0:09:00; B; E
1 day, 0:14:00; B; E
1 day, 0:19:00; B; E
1 day, 0:12:00; A; E
1 day, 0:17:00; A; E
1 day, 0:22:00; A; E
1 day, 0:18:00; E; E
1 day, 0:23:00; E; E
1 day, 0:28:00; E; E
1 day, 0:24:00; A; F
1 day, 0:29:00; A; F
1 day, 0:34:00; A; F
1 day, 0:27:00; B; F
1 day, 0:32:00; B; F
1 day, 0:37:00; B; F
1 day, 0:32:00; F; F
1 day, 0:37:00; F; F
1 day, 0:42:00; F; F
1 day, 0:37:00; B; E
1 day, 0:42:00; B; E
1 day, 0:47:00; B; E
1 day, 0:40:00; A; E
1 day, 0:45:00; A; E
1 day, 0:50:00; A; E
1 day, 0:46:00; E; E
1 day, 0:51:00; E; E
1 day, 0:56:00; E; E
1 day, 0:52:00; A; F
1 day, 0:57:00; A; F
1 day, 1:02:00; A; F
1 day, 0:55:00; B; F
1 day, 1:00:00; B; F
1 day, 1:05:00; B; F
1 day, 1:00:00; F; F
1 day, 1:05:00; F; F
1 day, 1:10:00; F; F
1 day, 1:05:00; B; E
1 day, 1:10:00; B; E
1 day, 1:15:00; B; E
1 day, 1:08:00; A; E
1 day, 1:13:00; A; E
1 day, 1:18:00; A; E
1 day, 1:14:00; E; E
1 day, 1:19:00; E; E
1 day, 1:24:00; E; E
1 day, 1:20:00; A; F
1 day, 1:25:00; A; F
1 day, 1:30:00; A; F
